objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237657773931561099,134.034973963261,38.1297692711333,18.25772,16.63915,15.72414,15.25339,14.91215,2864,301,1,177,1348852597309597696,GALAXY,0.1222983,1198,52669,89,,0,0,0
1237657773931626622,134.211292700394,38.2849885583851,18.79559,17.46562,16.90883,16.5305,16.33247,2864,301,1,178,1348855346088667136,GALAXY,0.05959679,1198,52669,99,,0,0,0
1237657773931626857,134.291497653908,38.3164746363752,19.00164,17.86616,17.42336,17.14106,17.00112,2864,301,1,178,1348853971699132416,GALAXY,0.06004846,1198,52669,94,,0,0,0
1237657774468628711,134.20814219998,38.7354707397246,19.05458,17.80561,17.13549,16.74574,16.51873,2864,301,2,180,1348850948042156032,GALAXY,0.08744568,1198,52669,83,,0,0,0
1237657774468759654,134.546227955967,38.9473975262352,19.84612,17.7884,16.85755,16.44298,16.13498,2864,301,2,182,1348857545111922688,GALAXY,0.09544641,1198,52669,107,,0,0,0
1237657774468759849,134.524316184018,38.9052858021421,20.49891,18.65976,17.73939,17.28945,16.93491,2864,301,2,182,1348856995356108800,GALAXY,0.09513348,1198,52669,105,,0,0,0
1237657774468759929,134.628758204717,38.9496906305678,21.31388,19.09254,17.8502,17.37159,17.03429,2864,301,2,182,1348857270234015744,GALAXY,0.1893031,1198,52669,106,,0,0,0
1237657774468825178,134.628026207381,38.9788927291486,18.75696,17.72473,17.30844,17.03507,16.88503,2864,301,2,183,1348858094867736576,GALAXY,0.09190641,1198,52669,109,,0,0,0
1237657774468825235,134.648752834004,39.0308107674405,18.34294,17.25527,16.83276,16.49332,16.37644,2864,301,2,183,1348859469257271296,GALAXY,0.08349255,1198,52669,114,,0,0,0
1237657774468825264,134.707932630825,39.0287768483753,20.16746,18.0098,16.97878,16.47583,16.0933,2864,301,2,183,1348858919501457408,GALAXY,0.08339155,1198,52669,112,,0,0,0
1237657774468825336,134.659808339349,39.1683149673438,19.32496,17.73326,16.90034,16.47024,16.13824,2864,301,2,183,1348859744135178240,GALAXY,0.09913378,1198,52669,115,,0,0,0
1237657774468890673,134.743933866186,39.2116041812894,21.21251,19.84149,19.18381,18.8618,18.76456,2864,301,2,184,1348848474140993536,GALAXY,0.09847739,1198,52669,74,,0,0,0
1237657774468890845,134.77267458043,39.079553175398,20.43326,18.33867,17.35696,16.818,16.3905,2864,301,2,184,1348846549995644928,GALAXY,0.09322065,1198,52669,67,,0,0,0
1237657774468890900,134.770945014033,39.1800827809455,17.92216,16.51268,15.86063,15.51588,15.25086,2864,301,2,184,1348847374629365760,GALAXY,0.05809918,1198,52669,70,,0,0,0
1237655465390440952,231.291654897113,53.6980828931585,24.6716,22.56942,20.89937,19.91365,19.43156,2326,301,5,235,7559447938478659584,GALAXY,0.6043056,6714,56447,567,,0,0,0
1237655465390310031,230.997398519312,53.8561085365061,23.98136,22.30592,20.59804,19.67129,19.1711,2326,301,5,233,7559445739455404032,GALAXY,0.4889286,6714,56447,559,,0,0,0
1237655465390309864,230.83038595484,53.8375950620201,24.11335,22.12959,20.52076,19.65978,19.37397,2326,301,5,233,7559435843850754048,GALAXY,0.552813,6714,56447,523,,0,0,0
1237655465390309766,230.893090855248,53.9313857269916,21.85378,20.93541,19.74492,19.04651,18.58726,2326,301,5,233,7559442440920520704,GALAXY,0.5205591,6714,56447,547,,0,0,0
1237655465390309670,231.067050360151,53.8479375689121,24.73356,21.81586,19.9599,18.86421,18.36853,2326,301,5,233,7559446289211217920,GALAXY,0.5925032,6714,56447,561,,0,0,0
1237655465390309563,230.912259278892,53.7829943631899,24.13134,21.40837,19.8039,19.00599,18.72593,2326,301,5,233,7559436943362381824,GALAXY,0.4781443,6714,56447,527,,0,0,0
1237655465390244618,230.848844530181,53.9206640564472,23.86962,22.37017,20.65087,19.71161,19.26658,2326,301,5,232,7559444639943776256,GALAXY,0.4690266,6714,56447,555,,0,0,0
1237655465390244122,230.779778413238,53.8845082774805,21.6268,19.2295,17.7577,17.213,16.84453,2326,301,5,232,7559444914821683200,GALAXY,0.2651032,6714,56447,556,,0,0,0
1237655465390244012,230.825653409084,54.0318205718794,23.49931,21.99248,20.22824,19.40573,19.01151,2326,301,5,232,7559445189699590144,GALAXY,0.4693151,6714,56447,557,,0,0,0
